title,review,price,rating_value,link
"Men's Work: A Practical Guide to Face Your Darkness, End Self-Sabotage, and Find Freedom",44,0,4.7,./index_files/61yBXJdp0IL._AC_UY218_.jpg
Psycho-Cybernetics: Updated and Expanded,"1,346",0,4.7,./index_files/81-Aqq-wEUL._AC_UY218_.jpg
Us: Getting Past You and Me to Build a More Loving Relationship,626,0,4.6,./index_files/81UNauHA7ZL._AC_UY218_.jpg
"The Daily Laws: 366 Meditations on Power, Seduction, Mastery, Strategy, and Human Nature","2,786",0,4.8,./index_files/71V4EtK9NuL._AC_UY218_.jpg
Allen Carr's Easy Way to Quit Smoking,"2,559",0,4.5,./index_files/81GKp2rqDOL._AC_UY218_.jpg
The Swedish Art of Aging Exuberantly: Life Wisdom from Someone Who Will (Probably) Die Before You,232,0,4.1,./index_files/71Elo6Azm2L._AC_UY218_.jpg
"Self-Care for Black Women: 150 Ways to Radically Accept & Prioritize Your Mind, Body, & Soul",481,11,4.8,./index_files/71MeByZzhHL._AC_UY218_.jpg
Inquebrantables (Spanish Edition),"12,229",9,4.8,./index_files/81jsYLHnw9L._AC_UY218_.jpg
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,"7,591",0,4.6,./index_files/81eQAtzupsL._AC_UY218_.jpg
"I Thought It Was Just Me (but it isn’t): Telling the Truth about Perfectionism, Inadequacy, and Power","6,043",0,4.7,./index_files/81bZXcjk7yL._AC_UY218_.jpg
"The Body Is Not an Apology, Second Edition: The Power of Radical Self-Love","3,002",0,4.8,./index_files/91aUYfdzPyL._AC_UY218_.jpg
Lifting Heavy Things: Healing Trauma One Rep at a Time,139,0,4.6,./index_files/714n0EdcxpL._AC_UY218_.jpg
The Big Leap,"5,943",0,4.6,./index_files/81WVQ79bN5L._AC_UY218_.jpg
Tiny Habits: The Small Changes That Change Everything,"5,619",12,4.6,./index_files/81d2-gSFBKL._AC_UY218_.jpg
Stillness Is the Key,"6,915",0,4.7,./index_files/71SVFO74WkL._AC_UY218_.jpg
It Takes What It Takes: How to Think Neutrally and Gain Control of Your Life,"1,383",0,4.6,./index_files/71TVRWgPhdL._AC_UY218_.jpg
The Home Edit: A Guide to Organizing and Realizing Your House Goals (Includes Refrigerator Labels Download),"14,029",0,4.7,./index_files/81Lercg15RL._AC_UY218_.jpg
"Self-Care for People with ADHD: 100+ Ways to Recharge, De-Stress, and Prioritize You!",134,0,4.7,./index_files/71Q+q5MNaEL._AC_UY218_.jpg
"Loving What Is, Revised Edition: Four Questions That Can Change Your Life",438,14,4.6,./index_files/91msa1IhAIL._AC_UY218_.jpg
The Power to Change Workbook: Mastering the Habits That Matter Most,4,17,5.0,./index_files/71w+RY1ZBZL._AC_UY218_.jpg
Drive: The Surprising Truth About What Motivates Us,"6,810",0,4.5,./index_files/81+l6ovogNL._AC_UY218_.jpg
"Better Small Talk: Talk to Anyone, Avoid Awkwardness, Generate Deep Conversations, and Make Real Friends","1,284",0,4.4,./index_files/81893DQiayL._AC_UY218_.jpg
"Cursive handwriting workbook for Adults: Learn to write in Cursive, Improve your writing skills & practice penmanship for adults (Master Print and Cursive Writing Penmanship for Adults)","2,336",5,4.6,./index_files/61i87myIpTL._AC_UY218_.jpg
Big Magic: Creative Living Beyond Fear,"14,829",0,4.6,./index_files/81Dblo1ZRtL._AC_UY218_.jpg
Tattoos on the Heart: The Power of Boundless Compassion,"5,652",11,4.7,./index_files/71IPQd80FkL._AC_UY218_.jpg
Daily Devotions from Psalms: 365 Daily Inspirations,212,16,4.8,./index_files/816YPYIgUdL._AC_UY218_.jpg
Radical Remission: Surviving Cancer Against All Odds,"2,945",14,4.7,./index_files/61jleYB+y+L._AC_UY218_.jpg
Awaken the Giant Within,"8,221",0,4.6,./index_files/81PncHt6wcL._AC_UY218_.jpg
Can't Hurt Me: Master Your Mind and Defy the Odds - Clean Edition,"9,759",21,4.8,./index_files/81MtKRJ1HLL._AC_UY218_.jpg
"Overcomer: 8 Ways to Live a Life of Unstoppable Strength, Unmovable Faith, and Unbelievable Power","1,645",0,4.8,./index_files/91PrmS+o0mL._AC_UY218_.jpg
Courage Is Calling: Fortune Favors the Brave,"3,502",0,4.6,./index_files/81xyexuCw0L._AC_UY218_.jpg
Cómo ganar amigos e influir sobre las personas [How to Win Friends and Influence People],"3,680",0,4.8,./index_files/81tw3OF99+L._AC_UY218_.jpg
Twenty-Four Hours a Day,"4,668",13,4.8,./index_files/613BAAC3raL._AC_UY218_.jpg
The Gift: 14 Lessons to Save Your Life,"4,633",0,4.8,./index_files/71l9FqmrAYL._AC_UY218_.jpg
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,"23,832",0,4.6,./index_files/7149HkrI7ZL._AC_UY218_.jpg
"Own Your Past Change Your Future: A Not-So-Complicated Approach to Relationships, Mental Health & Wellness",585,0,4.8,./index_files/81yY9swMuiL._AC_UY218_.jpg
Permission to Live Free: Living the Life God Created You For,24,25,4.9,./index_files/81ZToCf1H3L._AC_UY218_.jpg
"Home Therapy: Interior Design for Increasing Happiness, Boosting Confidence, and Creating Calm: An Interior Design Book",112,26,4.6,./index_files/814+cxniGZL._AC_UY218_.jpg
Chicken Soup for the Soul: Laughter Is the Best Medicine: 101 Feel Good Stories,"1,606",8,4.7,./index_files/71etrvpycCL._AC_UY218_.jpg
The Power of Now: A Guide to Spiritual Enlightenment,"49,201",0,4.7,./index_files/51wk62SpJaL._AC_UY218_.jpg
The Subtle Art of Not Giving a F*ck Journal,380,12,4.7,./index_files/610cDipx6WL._AC_UY218_.jpg
